name,ein,street,city,state,zip
NEPONSET VALLEY HUMANE SOCIETY INC,043182956,PO BOX 544,NORWOOD,MA,02062-0544
FRIENDS OF MONOMOY INC,043202584,14 EBENS CIR,SOUTH CHATHAM,MA,02659-1310
FRIENDS OF MARBLEHEADS ABANDONED ANIMALS INC,043205760,CO KATHERINE ERRERA 1 LESLIE COVE,MARBLEHEAD,MA,01945-0000
FRIENDS OF FALMOUTH DOGS,043210625,PO BOX 438,FALMOUTH,MA,02541-0438
GREYHOUND OPTIONS INC,043226118,43 SYGIEL ROAD,WARE,MA,01082-9411
WILD CARE INC,043234724,10 SMITH LN,EASTHAM,MA,02642-2671
ANIMAL SHELTER INC,043236868,17 LAURELWOOD RD,STERLING,MA,01564-2220
CATTRAP INC,043244539,PO BOX 3225,NANTUCKET,MA,02584-3225
NEW ENGLAND OLD ENGLISH SHEEPDOG RESCUE INC,043251169,49 STONEHEDGE RD,LINCOLN,MA,01773-5201
PURR-FECT CAT SHELTER,043256040,PO BOX 548,MEDWAY,MA,02053-0548
PEOPLE FOR CATS,043265287,PO BOX 422,WEST FALMOUTH,MA,02574-0422
NORFOLK COUNTY HUMANE SOCIETY INC,043265776,167 NEPONSET ST,CANTON,MA,02021-2945
KITTY ANGELS INC,043270369,PO BOX 638,TYNGSBOROUGH,MA,01879-0638
ANIMAL ADVOCATES INC,043274191,151 ROCKLAND ST,S DARTMOUTH,MA,02748-2307
WINSLOW FARM ANIMAL AWARENESS CORP,043278765,C/O DEBRA A WHITE 37 EDDY STREET,NORTON,MA,02766-0000
CARRIE A SEAMAN ANIMAL SHELTER INC,043279087,PO BOX 1374,PROVINCETOWN,MA,02657-5374
FOREVER PAWS ANIMAL SHELTER,043280557,300 LYNWOOD ST,FALL RIVER,MA,02721-2103
PAW SAFE ANIMAL RESCUE INC,043281587,283 HIGH ST,MEDFORD,MA,02155-3717
MASSACHUSETTS BIRD OF PREY REHABILITATION FACILITY,043287450,PO BOX 26,CONWAY,MA,01341-0026
GLOUCESTER FISHERMANS WIVES DEVELOPMENT PROGRAMS INC,043296952,2 BLACKBURN CTR,GLOUCESTER,MA,01930-2201
FACES INC,043302164,PO BOX 704,W SPRINGFIELD,MA,01090-0704
PLACE FOR WILD BIRDS INC,043304526,45 PLAIN ST E,BERKLEY,MA,02779-1115
POOKIES PALS INCORPORATED,043315954,60 TROUT FARM LN,DUXBURY,MA,02332-4609
PEOPLE FOR ANIMALS LEAUGE INC,043322732,6 KINGSBURY RD,SPENCER,MA,01562-2713
GERMAN SHEPHERD RESCUE OF NEW ENGLAND INC,043324970,PO BOX 299,WAYLAND,MA,01778-0299
GRANBY REGIONAL HORSE COUNCIL INC,043330576,1B COOK RD,SOUTHAMPTON,MA,01073-9495
THE CENTER FOR REHABILITATION OF WILDLIFE INC,043336465,790 BERKSHIRE TRL,CUMMINGTON,MA,01026-9655
HILLTOP HUMANE SOCIETY INC,043337334,524 COLUMBIAN ST,S WEYMOUTH,MA,02190-1130
C L A W S OF MASHPEE INC,043340936,11 LITTLE POND RD,MARSTONS MLS,MA,02648-1102
JOHN HAY ESTATE AT THE FELLS,043345078,PO BOX 276,NEWBURY,NH,03255-0276
HAMPSHIRE BIRD CLUB INC,043352971,PO BOX 3637,AMHERST,MA,01004-3637
P A W S - PROTECTION OF ANIMALS WANDERING THE STREETS,043355699,368 SOUTH ST,CALAIS,ME,04619-1123
NORTH SHORE FELINE RESCUE INC,043360498,PO BOX 1263,MIDDLETON,MA,01949-3263
HOUSE RABBIT CONNECTION,043370233,PO BOX 83,SPRINGFIELD,MA,01101-0083
MAINE GREYHOUND PLACEMENT SERVICE,043387579,231 OLD BELGRADE RD,AUGUSTA,ME,04330-8055
SECOND CHANCE RANCH INC,043388369,P O BOX 261,WEST SUFFIELD,CT,06093-0000
HABITAT FOR CATS NO KILL SHELTER,043388476,PO BOX 79571,N DARTMOUTH,MA,02747-0988
MARTHAS VINEYARD HORSE COUNCIL INC,043407467,PO BOX 833,WEST TISBURY,MA,02575-0833
CANINES FOR DISABLED KIDS INC,043412812,65 JAMES ST STE 210,WORCESTER,MA,01603-1035
JOHN BUTLER MULLIKEN FOUNDATION INC,043424901,CO CHERRY BEKAERT 800 SOUTH ST 25,WALTHAM,MA,02453-0000
WORLD FEDERATION FOR ANIMALS INC,043431930,25 CHESTNUT SQ,JAMAICA PLAIN,MA,02130-2205
PAWS OF PLAINVILLE INC,043432688,PO BOX 2236,PLAINVILLE,MA,02762-0296
NINE LIVES OF NORTON FELINE RESCUE SHELTER INC,043433595,PO BOX 548,NORTON,MA,02766-0548
SPORTSMENS NATIONAL LAND TRUST INC,043434168,200 SILVER ST UNIT 201,AGAWAM,MA,01001-3067
KRATT BROTHERS CREATURE HERO SOCIETY,043436143,PO BOX 475,STOWE,VT,05672-0475
LIFE CHANGING EVANGELISTIC MINISTRIES INC,043440994,165 BLUE HILL AVE,BOSTON,MA,02119-2118
